n	E	absM	accepted
6700000	-4.92283E+02	1.78228E+02	1819707
6800000	-4.92590E+02	1.78962E+02	1844847
6900000	-4.92589E+02	1.79225E+02	1872055
7000000	-4.92688E+02	1.79359E+02	1898292
7100000	-4.92676E+02	1.79804E+02	1925351
7200000	-4.92723E+02	1.80327E+02	1952212
7300000	-4.92862E+02	1.80809E+02	1978400
7400000	-4.92613E+02	1.80281E+02	2007338
7500000	-4.93150E+02	1.81349E+02	2030726
7600000	-4.93394E+02	1.81621E+02	2056141
7700000	-4.92887E+02	1.80943E+02	2086756
7800000	-4.92765E+02	1.80597E+02	2114643
7900000	-4.92319E+02	1.79435E+02	2144961
8000000	-4.92631E+02	1.80167E+02	2169613
8100000	-4.92572E+02	1.79639E+02	2197190
8200000	-4.92418E+02	1.79421E+02	2225441
8300000	-4.92385E+02	1.79699E+02	2252638
8400000	-4.92103E+02	1.78815E+02	2281939
8500000	-4.91961E+02	1.78193E+02	2310173
8600000	-4.91748E+02	1.77765E+02	2339056
8700000	-4.92176E+02	1.78647E+02	2362754
8800000	-4.92008E+02	1.78587E+02	2391204
8900000	-4.91757E+02	1.78037E+02	2420372
9000000	-4.91859E+02	1.78370E+02	2446585
9100000	-4.92245E+02	1.79167E+02	2470314
9200000	-4.92292E+02	1.79377E+02	2496973
9300000	-4.92158E+02	1.79173E+02	2525496
9400000	-4.92423E+02	1.79911E+02	2550180
9500000	-4.92394E+02	1.80001E+02	2577867
9600000	-4.92038E+02	1.79057E+02	2608332
9700000	-4.92022E+02	1.79105E+02	2635554
9800000	-4.92392E+02	1.79745E+02	2659646
9900000	-4.92295E+02	1.79857E+02	2687673
10000000	-4.92506E+02	1.80185E+02	2712664
11000000	-4.91202E+02	1.77518E+02	2995828
12000000	-4.92155E+02	1.79559E+02	3257825
13000000	-4.92428E+02	1.80203E+02	3526245
14000000	-4.93000E+02	1.80554E+02	3790148
15000000	-4.93323E+02	1.81251E+02	4056092
16000000	-4.94187E+02	1.82992E+02	4313813
17000000	-4.94123E+02	1.82850E+02	4584210
18000000	-4.94356E+02	1.83382E+02	4850452
19000000	-4.93652E+02	1.81455E+02	5133191
20000000	-4.93473E+02	1.81303E+02	5407558
21000000	-4.92975E+02	1.80536E+02	5687665
22000000	-4.93312E+02	1.81295E+02	5951276
23000000	-4.93770E+02	1.82157E+02	6212145
24000000	-4.94040E+02	1.82985E+02	6475878
25000000	-4.93845E+02	1.82800E+02	6750915
26000000	-4.93904E+02	1.82314E+02	7019777
27000000	-4.94403E+02	1.83306E+02	7276734
28000000	-4.94228E+02	1.82972E+02	7551404
29000000	-4.94183E+02	1.82713E+02	7822552
30000000	-4.94196E+02	1.82753E+02	8091864
31000000	-4.94080E+02	1.82078E+02	8364815
32000000	-4.94164E+02	1.82387E+02	8632598
33000000	-4.93796E+02	1.81558E+02	8914077
34000000	-4.94035E+02	1.82298E+02	9176516
35000000	-4.94021E+02	1.82681E+02	9446134
36000000	-4.94339E+02	1.83390E+02	9705940
37000000	-4.94405E+02	1.83663E+02	9973329
38000000	-4.94313E+02	1.83237E+02	10246039
39000000	-4.94401E+02	1.83019E+02	10512632
40000000	-4.94599E+02	1.83399E+02	10774856
41000000	-4.94608E+02	1.83389E+02	11044543
42000000	-4.94418E+02	1.82823E+02	11321407
43000000	-4.94494E+02	1.83102E+02	11587401
44000000	-4.94409E+02	1.82576E+02	11860058
45000000	-4.94606E+02	1.83128E+02	12121670
46000000	-4.94784E+02	1.83481E+02	12383157
47000000	-4.94502E+02	1.82872E+02	12664583
48000000	-4.94531E+02	1.82970E+02	12932490
49000000	-4.94670E+02	1.83136E+02	13196011
50000000	-4.94817E+02	1.83505E+02	13458347
51000000	-4.94773E+02	1.83375E+02	13729937
52000000	-4.94525E+02	1.82964E+02	14011496
53000000	-4.94562E+02	1.82962E+02	14278826
54000000	-4.94671E+02	1.83209E+02	14543201
55000000	-4.94645E+02	1.83135E+02	14814407
56000000	-4.94531E+02	1.82988E+02	15089168
57000000	-4.94482E+02	1.82666E+02	15360948
58000000	-4.94431E+02	1.82468E+02	15632838
59000000	-4.94371E+02	1.82284E+02	15905670
60000000	-4.94265E+02	1.82006E+02	16181855
61000000	-4.94414E+02	1.82368E+02	16443314
62000000	-4.94408E+02	1.82328E+02	16713955
63000000	-4.94390E+02	1.82407E+02	16985370
64000000	-4.94616E+02	1.82911E+02	17241618
65000000	-4.94447E+02	1.82583E+02	17521226
66000000	-4.94264E+02	1.82189E+02	17801446
67000000	-4.94287E+02	1.82198E+02	18068816
68000000	-4.94382E+02	1.82516E+02	18332241
69000000	-4.94368E+02	1.82333E+02	18602808
70000000	-4.94272E+02	1.82019E+02	18878223
71000000	-4.94225E+02	1.82048E+02	19151665
72000000	-4.94179E+02	1.81897E+02	19424446
