body	t	x	y	z
1	9.250E-01	-3.011E-01	1.739E-01	2.713E-02
2	9.250E-01	-3.677E-01	6.206E-01	2.966E-02
3	9.250E-01	1.003E+00	7.114E-02	-1.434E-04
4	9.250E-01	1.001E+00	6.878E-02	9.736E-05
5	9.250E-01	-1.458E+00	8.041E-01	5.244E-02
6	9.250E-01	-4.663E+00	-2.799E+00	1.159E-01
7	9.250E-01	-4.589E-01	-1.004E+01	1.928E-01
8	9.250E-01	1.790E+01	8.742E+00	-1.994E-01
9	9.250E-01	2.860E+01	-8.882E+00	-4.762E-01
0	9.500E-01	2.305E-03	5.655E-03	-1.323E-04
1	9.500E-01	-3.929E-01	-6.404E-02	8.715E-03
2	9.500E-01	-5.126E-01	5.052E-01	3.644E-02
3	9.500E-01	9.775E-01	2.259E-01	-1.444E-04
4	9.500E-01	9.800E-01	2.256E-01	-2.597E-04
5	9.500E-01	-1.511E+00	7.009E-01	5.156E-02
6	9.500E-01	-4.628E+00	-2.855E+00	1.153E-01
7	9.500E-01	-4.108E-01	-1.005E+01	1.909E-01
8	9.500E-01	1.788E+01	8.773E+00	-1.991E-01
9	9.500E-01	2.860E+01	-8.855E+00	-4.770E-01
0	9.750E-01	2.258E-03	5.705E-03	-1.313E-04
1	9.750E-01	-3.359E-01	-2.814E-01	-1.356E-02
2	9.750E-01	-6.235E-01	3.566E-01	4.079E-02
3	9.750E-01	9.284E-01	3.752E-01	-1.499E-04
4	9.750E-01	9.270E-01	3.773E-01	-2.211E-04
5	9.750E-01	-1.555E+00	5.940E-01	5.042E-02
6	9.750E-01	-4.592E+00	-2.910E+00	1.148E-01
7	9.750E-01	-3.627E-01	-1.005E+01	1.890E-01
8	9.750E-01	1.786E+01	8.803E+00	-1.988E-01
9	9.750E-01	2.861E+01	-8.827E+00	-4.777E-01
0	1.000E+00	2.211E-03	5.755E-03	-1.302E-04
1	1.000E+00	-1.828E-01	-4.201E-01	-3.229E-02
2	1.000E+00	-6.930E-01	1.848E-01	4.244E-02
3	1.000E+00	8.563E-01	5.154E-01	-1.580E-04
4	1.000E+00	8.550E-01	5.131E-01	7.590E-05
5	1.000E+00	-1.591E+00	4.840E-01	4.900E-02
6	1.000E+00	-4.556E+00	-2.965E+00	1.142E-01
7	1.000E+00	-3.145E-01	-1.005E+01	1.871E-01
8	1.000E+00	1.785E+01	8.834E+00	-1.984E-01
9	1.000E+00	2.862E+01	-8.800E+00	-4.785E-01
0	1.025E+00	2.163E-03	5.804E-03	-1.290E-04
1	1.025E+00	1.573E-02	-4.557E-01	-4.326E-02
2	1.025E+00	-7.166E-01	1.262E-03	4.129E-02
3	1.025E+00	7.628E-01	6.428E-01	-1.576E-04
4	1.025E+00	7.653E-01	6.425E-01	-2.728E-04
5	1.025E+00	-1.619E+00	3.713E-01	4.732E-02
6	1.025E+00	-4.519E+00	-3.019E+00	1.136E-01
7	1.025E+00	-2.664E-01	-1.005E+01	1.853E-01
8	1.025E+00	1.783E+01	8.865E+00	-1.981E-01
9	1.025E+00	2.863E+01	-8.772E+00	-4.793E-01
0	1.050E+00	2.115E-03	5.853E-03	-1.279E-04
1	1.050E+00	2.101E-01	-3.779E-01	-4.360E-02
2	1.050E+00	-6.930E-01	-1.820E-01	3.741E-02
3	1.050E+00	6.502E-01	7.542E-01	-1.614E-04
4	1.050E+00	6.488E-01	7.562E-01	-2.191E-04
5	1.050E+00	-1.638E+00	2.568E-01	4.538E-02
6	1.050E+00	-4.481E+00	-3.073E+00	1.130E-01
7	1.050E+00	-2.183E-01	-1.005E+01	1.834E-01
8	1.050E+00	1.781E+01	8.895E+00	-1.978E-01
9	1.050E+00	2.864E+01	-8.744E+00	-4.800E-01
0	1.075E+00	2.065E-03	5.901E-03	-1.267E-04
1	1.075E+00	3.421E-01	-1.904E-01	-3.140E-02
2	1.075E+00	-6.239E-01	-3.530E-01	3.107E-02
3	1.075E+00	5.211E-01	8.466E-01	-1.670E-04
4	1.075E+00	5.198E-01	8.442E-01	6.407E-05
5	1.075E+00	-1.648E+00	1.408E-01	4.320E-02
6	1.075E+00	-4.442E+00	-3.126E+00	1.123E-01
7	1.075E+00	-1.702E-01	-1.005E+01	1.815E-01
8	1.075E+00	1.780E+01	8.925E+00	-1.975E-01
9	1.075E+00	2.864E+01	-8.717E+00	-4.808E-01
0	1.100E+00	2.015E-03	5.949E-03	-1.255E-04
1	1.100E+00	3.365E-01	6.927E-02	-7.211E-03
